erle_db,erle_inst_db,erle_window_db,snr_in_db,snr_out_db,dtd_active,frame_index,beamformer_enabled,beamformer_algorithm,aec_enabled,aec_algorithm,nr_enabled,nr_algorithm
NaN,NaN,NaN,-12.8579705488783,-12.8579705488783,0,166,0,das,0,nlms,0,traditional
NaN,NaN,NaN,-13.0425300008773,-13.0425300008773,0,167,0,das,0,nlms,0,traditional
NaN,NaN,NaN,-12.8243440708985,-12.8243440708985,0,168,0,das,0,nlms,0,traditional
NaN,NaN,NaN,-12.8438460210095,-12.8438460210095,0,169,0,das,0,nlms,0,traditional
NaN,NaN,NaN,-12.8213078805509,-12.8213078805509,0,170,0,das,0,nlms,0,traditional
NaN,NaN,NaN,-12.902977940705,-12.902977940705,0,171,0,das,0,nlms,0,traditional
NaN,NaN,NaN,-12.9713800203454,-12.9713800203454,0,172,0,das,0,nlms,0,traditional
NaN,NaN,NaN,-12.9988625128003,-12.9988625128003,0,173,0,das,0,nlms,0,traditional
NaN,NaN,NaN,-12.9400931159816,-12.9400931159816,0,174,0,das,0,nlms,0,traditional
NaN,NaN,NaN,-12.8859508950858,-12.8859508950858,0,175,0,das,0,nlms,0,traditional
NaN,NaN,NaN,-12.8596393721207,-12.8596393721207,0,176,0,das,0,nlms,0,traditional
NaN,NaN,NaN,-13.0932745103211,-13.0932745103211,0,177,0,das,0,nlms,0,traditional
NaN,NaN,NaN,-12.7858314667426,-12.7858314667426,0,178,0,das,0,nlms,0,traditional
NaN,NaN,NaN,-13.033451319685,-13.033451319685,0,179,0,das,0,nlms,0,traditional
NaN,NaN,NaN,-12.8517237545434,-12.8517237545434,0,180,0,das,0,nlms,0,traditional
NaN,NaN,NaN,-13.0169620039782,-13.0169620039782,0,181,0,das,0,nlms,0,traditional
NaN,NaN,NaN,-12.8496915263529,-12.8496915263529,0,182,0,das,0,nlms,0,traditional
NaN,NaN,NaN,-12.7770712896085,-12.7770712896085,0,183,0,das,0,nlms,0,traditional
NaN,NaN,NaN,-12.8417841218472,-12.8417841218472,0,184,0,das,0,nlms,0,traditional
NaN,NaN,NaN,-12.8842880066743,-12.8842880066743,0,185,0,das,0,nlms,0,traditional
NaN,NaN,NaN,-12.9050803932168,-12.9050803932168,0,186,0,das,0,nlms,0,traditional
NaN,NaN,NaN,-13.0666859463025,-13.0666859463025,0,187,0,das,0,nlms,0,traditional
NaN,NaN,NaN,-12.9501259016034,-12.9501259016034,0,188,0,das,0,nlms,0,traditional
NaN,NaN,NaN,-12.889205650107,-12.889205650107,0,189,0,das,0,nlms,0,traditional
NaN,NaN,NaN,-12.8563575502666,-12.8563575502666,0,190,0,das,0,nlms,0,traditional
NaN,NaN,NaN,-12.9420896465994,-12.9420896465994,0,191,0,das,0,nlms,0,traditional
NaN,NaN,NaN,-12.9112545452612,-12.9112545452612,0,192,0,das,0,nlms,0,traditional
NaN,NaN,NaN,-12.8565676425506,-12.8565676425506,0,193,0,das,0,nlms,0,traditional
NaN,NaN,NaN,-12.7798051969765,-12.7798051969765,0,194,0,das,0,nlms,0,traditional
NaN,NaN,NaN,-13.0087892869507,-13.0087892869507,0,195,0,das,0,nlms,0,traditional
NaN,NaN,NaN,-12.8806318465532,-12.8806318465532,0,196,0,das,0,nlms,0,traditional
NaN,NaN,NaN,-12.8990727386449,-12.8990727386449,0,197,0,das,0,nlms,0,traditional
NaN,NaN,NaN,-12.8655208162267,-12.8655208162267,0,198,0,das,0,nlms,0,traditional
NaN,NaN,NaN,-12.8696268974687,-12.8696268974687,0,199,0,das,0,nlms,0,traditional
NaN,NaN,NaN,-12.8675340210996,-12.8675340210996,0,200,0,das,0,nlms,0,traditional
